Player,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,Non-Penalty xG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-Ins taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (TO),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (TO),GCA (Sh),GCA (Fld),GCA (Def),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of dribblers tackled,Challenges Lost,Blocks,Shots Blocked,Rival Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Position,Age,Country,Club,url,Minutes,DetailedPosition
James Maddison,0.33,0.37,0.69,0.29,0.04,0.07,0.37,0.0,0.34,0.27,0.37,0.64,3.0,5.63,5.7,Shooting,2.96,1.02,34.6%,0.1,0.29,20.7,0.44,0.09,-0.01,0.03,Passing,30.78,42.0,73.3%,525.85,162.45,14.88,17.07,87.2%,11.26,15.02,74.9%,3.4,6.91,49.2%,0.26,2.6,4.13,1.21,0.11,Pass Types,36.34,5.3,2.19,0.58,0.33,4.86,0.15,2.67,1.46,0.77,0.11,0.37,0.88,Goal and Shot Creation,5.37,2.81,1.17,0.48,0.29,0.51,0.11,0.51,0.37,0.04,0.04,0.0,0.07,0.0,Defense,1.94,0.95,0.88,0.77,0.29,0.77,1.86,41.2%,1.1,0.66,0.04,0.62,0.55,2.49,0.26,0.04,Possession,52.75,0.73,6.1,22.41,24.82,3.8,52.68,3.98,1.79,45.0%,1.39,34.9%,35.06,209.1,101.84,1.68,1.21,1.39,1.35,38.86,Miscellaneous Stats,0.0,1.02,2.92,0.22,0.04,0.0,0.0,3.98,0.18,0.44,29.4%,MF,26-278,ENG,Tottenham,https://fbref.com/en/players/ee38d9c5/James-Maddison,2462,Attacking Midfield
Destiny Udogie,0.06,0.16,0.23,0.06,0.0,0.0,0.16,0.0,0.08,0.08,0.15,0.23,3.67,3.63,5.06,Shooting,0.81,0.19,24.0%,0.08,0.33,13.4,0.0,0.1,-0.02,-0.02,Passing,32.25,38.9,82.9%,476.12,165.17,18.17,20.28,89.6%,12.13,14.31,84.8%,1.14,1.59,71.4%,0.08,1.14,2.69,0.81,0.13,Pass Types,33.48,5.39,0.84,0.03,0.06,0.97,4.41,0.13,0.0,0.0,0.0,0.03,1.43,Goal and Shot Creation,2.82,1.98,0.19,0.23,0.13,0.19,0.1,0.29,0.26,0.0,0.0,0.03,0.0,0.0,Defense,2.3,1.46,1.33,0.75,0.23,1.07,1.88,56.9%,0.81,1.07,0.16,0.91,1.2,3.5,0.97,0.0,Possession,51.49,2.21,11.71,22.91,18.17,2.47,51.49,4.12,1.65,40.2%,1.78,43.3%,31.37,218.15,113.42,2.34,1.01,1.82,1.14,30.85,Miscellaneous Stats,0.0,1.43,1.98,0.16,0.0,0.06,0.0,6.03,0.65,0.52,55.6%,DF,20-273,ITA,Tottenham,https://fbref.com/en/players/7cd520e8/Destiny-Udogie,2774,Left-Back
Richarlison,0.18,0.12,0.29,0.18,0.0,0.0,0.24,0.0,0.26,0.26,0.15,0.41,2.53,2.53,6.9,Shooting,2.24,1.06,47.4%,0.08,0.17,12.8,0.0,0.12,-0.08,-0.08,Passing,16.8,23.93,70.2%,246.6,62.06,9.08,12.02,75.5%,5.6,7.07,79.2%,0.88,1.3,68.2%,0.1,1.47,1.24,0.71,0.18,Pass Types,23.16,0.77,0.0,0.29,0.18,0.94,0.0,0.0,0.0,0.0,0.0,0.0,1.41,Goal and Shot Creation,2.95,2.0,0.0,0.18,0.24,0.53,0.0,0.24,0.12,0.0,0.0,0.0,0.12,0.0,Defense,1.3,1.0,0.77,0.41,0.12,0.77,1.83,41.9%,1.06,1.0,0.24,0.77,0.35,1.65,0.65,0.0,Possession,37.13,1.06,5.54,14.44,17.86,5.78,37.13,2.89,1.06,36.7%,1.47,51.0%,22.99,129.61,60.24,1.65,1.0,3.3,1.71,26.58,Miscellaneous Stats,0.0,1.18,1.83,0.65,0.12,0.0,0.0,4.07,1.41,2.95,32.4%,FW,26-110,BRA,Tottenham,https://fbref.com/en/players/fa031b34/Richarlison,1527,Centre-Forward
Cristian Romero,0.03,0.03,0.06,0.03,0.0,0.0,0.45,0.06,0.07,0.07,0.04,0.1,0.85,3.66,0.45,Shooting,0.39,0.12,30.8%,0.08,0.25,12.3,0.0,0.17,-0.04,-0.04,Passing,54.7,61.87,88.4%,972.45,353.56,22.14,24.26,91.3%,27.5,29.34,93.7%,4.08,6.14,66.5%,0.04,0.27,3.54,0.45,0.0,Pass Types,58.57,3.21,2.36,0.15,0.51,0.03,0.79,0.0,0.0,0.0,0.0,0.09,0.73,Goal and Shot Creation,0.94,0.85,0.0,0.0,0.03,0.03,0.03,0.12,0.09,0.0,0.0,0.0,0.03,0.0,Defense,2.45,1.36,1.45,0.91,0.09,1.15,1.82,63.3%,0.67,1.57,0.7,0.88,1.69,4.14,3.51,0.09,Possession,73.0,11.04,36.39,32.91,4.3,0.57,73.0,0.57,0.27,47.4%,0.27,47.4%,44.35,204.2,119.07,0.97,0.03,0.61,0.3,47.13,Miscellaneous Stats,0.06,1.45,0.36,0.03,0.03,0.03,0.0,6.29,2.18,0.88,71.3%,DF,25-123,ARG,Tottenham,https://fbref.com/en/players/a3d94a58/Cristian-Romero,2975,Centre-Back
Pedro Porro,0.16,0.21,0.36,0.16,0.0,0.0,0.05,0.0,0.11,0.11,0.2,0.31,2.64,2.8,6.32,Shooting,1.86,0.47,25.0%,0.08,0.33,21.3,0.16,0.06,0.04,0.04,Passing,38.68,53.18,72.7%,651.02,224.02,19.63,22.32,87.9%,14.34,18.12,79.1%,3.83,8.7,44.0%,0.15,1.66,2.02,1.55,0.98,Pass Types,42.62,10.36,1.24,0.36,0.41,5.64,7.51,1.61,0.62,0.93,0.0,0.21,1.97,Goal and Shot Creation,3.16,2.23,0.41,0.1,0.26,0.1,0.05,0.52,0.41,0.0,0.05,0.05,0.0,0.0,Defense,2.28,1.5,1.09,0.98,0.21,1.45,3.16,45.9%,1.71,1.97,0.31,1.66,1.04,3.31,2.28,0.05,Possession,67.58,4.35,22.27,24.29,21.65,1.55,67.58,3.37,1.14,33.8%,1.81,53.8%,35.16,184.4,105.38,1.76,0.21,1.35,0.83,38.84,Miscellaneous Stats,0.0,1.04,1.24,0.05,0.0,0.0,0.0,6.42,0.1,0.83,11.1%,DF,23-349,ESP,Tottenham,https://fbref.com/en/players/27d0a506/Pedro-Porro,1738,Right-Back
Pape Matar Sarr,0.2,0.39,0.59,0.2,0.0,0.0,0.2,0.0,0.18,0.18,0.2,0.39,0.98,6.3,0.79,Shooting,2.36,0.98,41.7%,0.08,0.2,17.1,0.0,0.08,0.02,0.02,Passing,52.19,58.29,89.5%,824.18,194.77,25.6,27.18,94.2%,20.88,22.45,93.0%,3.15,4.33,72.7%,0.14,1.18,4.33,0.79,0.0,Pass Types,56.72,1.58,0.98,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.98,Goal and Shot Creation,2.76,2.17,0.0,0.0,0.2,0.2,0.2,0.79,0.79,0.0,0.0,0.0,0.0,0.0,Defense,3.15,2.36,1.38,1.18,0.59,1.77,3.35,52.9%,1.58,1.38,0.59,0.79,1.38,4.53,1.58,0.0,Possession,71.88,3.35,18.51,38.6,15.36,1.97,71.88,1.38,0.39,28.6%,0.59,42.9%,45.69,262.91,94.33,1.18,0.0,1.58,0.39,46.28,Miscellaneous Stats,0.0,1.58,0.98,0.0,0.0,0.2,0.0,9.06,1.58,1.97,44.4%,MF,20-348,SEN,Tottenham,https://fbref.com/en/players/feb5d972/Pape-Matar-Sarr,457,Defensive Midfield
Emerson,0.13,0.0,0.13,0.13,0.0,0.0,0.13,0.04,0.08,0.08,0.04,0.12,2.49,4.18,5.34,Shooting,0.98,0.49,50.0%,0.14,0.27,17.2,0.0,0.09,0.05,0.05,Passing,46.65,58.07,80.3%,723.34,200.1,25.12,27.88,90.1%,16.81,20.23,83.1%,2.89,4.8,60.2%,0.06,0.49,2.85,0.98,0.18,Pass Types,48.91,8.85,1.02,0.09,0.36,2.27,7.74,0.09,0.0,0.0,0.0,0.31,2.0,Goal and Shot Creation,1.6,1.42,0.0,0.0,0.04,0.09,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,Defense,2.76,1.73,1.51,0.71,0.53,1.25,2.13,58.3%,0.89,0.76,0.09,0.67,0.76,3.51,3.56,0.0,Possession,71.1,4.58,21.88,28.95,20.68,2.36,71.1,1.6,0.67,41.7%,0.53,33.3%,38.55,196.67,107.65,1.78,0.27,0.8,0.84,43.53,Miscellaneous Stats,0.0,1.07,1.82,0.09,0.0,0.0,0.0,5.11,1.47,1.42,50.8%,DF,24-226,BRA,Tottenham,https://fbref.com/en/players/df8b52a5/Emerson,2024,Right-Back
Oliver Skipp,0.05,0.0,0.05,0.05,0.0,0.0,0.45,0.0,0.02,0.02,0.04,0.05,1.0,3.81,1.71,Shooting,0.35,0.15,42.9%,0.14,0.33,23.2,0.0,0.04,0.04,0.04,Passing,41.34,47.91,86.3%,654.68,167.31,20.97,22.47,93.3%,16.4,18.46,88.9%,2.51,3.81,65.8%,0.03,0.6,3.66,0.5,0.1,Pass Types,46.91,0.75,0.45,0.05,0.2,0.6,0.05,0.0,0.0,0.0,0.0,0.25,0.75,Goal and Shot Creation,1.56,1.4,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,Defense,2.21,1.1,1.05,1.1,0.05,1.05,2.16,48.8%,1.1,1.15,0.4,0.75,0.95,3.16,1.15,0.05,Possession,56.49,2.61,14.05,34.26,8.58,0.5,56.49,0.85,0.6,70.6%,0.15,17.6%,30.85,133.34,61.61,0.85,0.1,1.1,0.8,39.38,Miscellaneous Stats,0.0,1.4,1.05,0.0,0.0,0.0,0.0,6.32,0.45,1.66,21.4%,MF,22-346,ENG,Tottenham,https://fbref.com/en/players/6250083a/Oliver-Skipp,1794,Defensive Midfield
Davinson Sánchez,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.07,0.07,0.05,0.12,0.58,4.18,0.7,Shooting,0.7,0.23,33.3%,0.0,0.0,12.6,0.0,0.1,-0.07,-0.07,Passing,59.15,68.54,86.3%,1029.78,319.18,23.2,24.94,93.0%,32.24,35.14,91.7%,2.78,5.57,50.0%,0.02,0.23,5.45,0.12,0.12,Pass Types,67.04,1.28,0.93,0.0,0.12,0.35,0.35,0.0,0.0,0.0,0.0,0.23,1.16,Goal and Shot Creation,0.58,0.46,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defense,2.09,0.93,1.39,0.58,0.12,1.16,1.86,62.5%,0.7,2.09,1.28,0.81,1.28,3.36,3.36,0.0,Possession,80.61,9.86,36.42,37.35,6.96,1.16,80.61,0.7,0.23,33.3%,0.35,50.0%,49.06,202.27,96.96,0.46,0.0,0.23,0.23,54.86,Miscellaneous Stats,0.0,0.93,0.46,0.12,0.0,0.12,0.0,5.1,3.25,1.97,62.2%,DF,27-077,COL,Tottenham,https://fbref.com/en/players/da7b447d/Davinson-Sanchez,776,Centre-Back
Ivan Perišić,0.04,0.32,0.35,0.04,0.0,0.0,0.25,0.0,0.1,0.1,0.24,0.34,3.79,3.09,7.93,Shooting,1.09,0.28,25.8%,0.03,0.13,15.0,0.07,0.09,-0.06,-0.06,Passing,30.96,48.09,64.4%,555.69,163.43,14.67,18.36,79.9%,11.65,17.48,66.7%,3.9,8.99,43.4%,0.23,1.97,1.47,1.61,0.98,Pass Types,38.47,9.44,0.74,0.0,0.63,8.49,6.0,2.7,2.21,0.32,0.0,0.18,1.61,Goal and Shot Creation,3.3,2.42,0.67,0.07,0.07,0.07,0.0,0.42,0.25,0.14,0.04,0.0,0.0,0.0,Defense,1.9,0.98,1.02,0.63,0.25,1.19,2.18,54.8%,0.98,1.33,0.42,0.91,0.88,2.77,2.25,0.07,Possession,58.87,3.26,15.59,18.71,25.1,3.55,58.87,1.76,0.98,56.0%,0.7,40.0%,27.48,159.61,90.32,1.33,1.26,1.33,0.46,31.73,Miscellaneous Stats,0.0,1.16,0.39,0.18,0.0,0.0,0.0,4.81,1.44,1.19,54.7%,FW,34-207,CRO,Tottenham,https://fbref.com/en/players/6fe90922/Ivan-Perisic,2564,Left Midfield
Pierre Højbjerg,0.1,0.18,0.29,0.1,0.0,0.0,0.18,0.0,0.06,0.06,0.08,0.13,1.28,6.51,1.86,Shooting,0.94,0.24,25.0%,0.11,0.44,21.4,0.0,0.06,0.05,0.05,Passing,59.22,67.09,88.3%,1047.23,281.56,26.86,29.01,92.6%,23.96,26.34,91.0%,6.49,8.53,76.1%,0.09,0.76,5.7,1.02,0.18,Pass Types,64.5,2.41,1.54,0.21,1.05,0.55,0.5,0.03,0.0,0.0,0.0,0.18,0.76,Goal and Shot Creation,2.64,2.41,0.0,0.05,0.05,0.05,0.08,0.39,0.39,0.0,0.0,0.0,0.0,0.0,Defense,1.54,0.86,0.86,0.5,0.18,0.81,2.04,39.7%,1.23,1.26,0.42,0.84,1.41,2.96,1.6,0.03,Possession,76.56,3.16,19.15,45.22,12.92,1.1,76.56,1.44,0.92,63.6%,0.37,25.5%,45.14,204.82,94.92,1.26,0.24,0.97,0.99,55.97,Miscellaneous Stats,0.0,1.07,1.02,0.03,0.0,0.0,0.0,7.3,0.81,0.21,79.5%,MF,28-023,DEN,Tottenham,https://fbref.com/en/players/8b04d6c1/Pierre-Hojbjerg,3441,Central Midfield
Ben Davies,0.08,0.04,0.11,0.08,0.0,0.0,0.15,0.0,0.05,0.05,0.1,0.15,1.53,4.28,2.71,Shooting,0.61,0.11,18.8%,0.13,0.67,18.5,0.0,0.09,0.02,0.02,Passing,41.43,50.94,81.3%,672.54,232.59,20.68,22.93,90.2%,17.5,20.6,85.0%,2.25,4.85,46.5%,0.06,0.69,3.59,0.31,0.19,Pass Types,47.39,3.44,1.03,0.08,0.31,1.3,2.41,0.0,0.0,0.0,0.0,0.11,0.76,Goal and Shot Creation,1.38,1.3,0.04,0.0,0.04,0.0,0.0,0.23,0.19,0.0,0.0,0.04,0.0,0.0,Defense,1.15,0.61,0.42,0.61,0.11,0.54,1.03,51.9%,0.5,0.73,0.34,0.38,0.73,1.87,2.56,0.04,Possession,58.85,3.48,19.26,30.76,9.06,1.18,58.85,0.69,0.31,44.4%,0.31,44.4%,34.39,175.61,106.85,1.15,0.15,0.5,0.19,40.32,Miscellaneous Stats,0.0,1.26,0.76,0.11,0.0,0.0,0.0,3.63,2.56,1.8,58.8%,DF,30-126,WAL,Tottenham,https://fbref.com/en/players/44781702/Ben-Davies,2355,Left-Back
Giovani Lo Celso,0.18,0.27,0.45,0.18,0.0,0.0,0.27,0.0,0.22,0.22,0.28,0.49,3.04,8.23,5.64,Shooting,2.51,0.54,21.4%,0.07,0.33,20.0,0.27,0.09,-0.04,-0.04,Passing,49.56,59.31,83.6%,848.74,233.23,25.41,28.54,89.0%,15.84,18.52,85.5%,6.53,8.23,79.3%,0.27,2.59,4.47,2.33,0.09,Pass Types,54.75,4.2,0.81,0.98,1.52,2.77,0.63,2.33,1.52,0.0,0.0,0.36,1.43,Goal and Shot Creation,5.01,3.76,0.36,0.18,0.27,0.45,0.0,0.27,0.27,0.0,0.0,0.0,0.0,0.0,Defense,2.68,2.33,0.63,1.16,0.89,0.98,1.7,57.9%,0.72,0.98,0.18,0.81,0.45,3.13,0.36,0.0,Possession,71.84,0.98,9.66,31.04,32.3,3.67,71.84,3.49,1.7,48.7%,1.16,33.3%,48.49,274.92,137.77,2.68,0.89,2.42,1.97,55.2,Miscellaneous Stats,0.0,1.16,2.68,0.36,0.0,0.0,0.0,5.19,0.09,0.45,16.7%,MF,27-141,ARG,Tottenham,https://fbref.com/en/players/d7553721/Giovani-Lo-Celso,1006,Central Midfield
Manor Solomon,0.65,0.0,0.65,0.65,0.0,0.0,0.0,0.0,0.2,0.2,0.07,0.26,2.62,3.93,8.67,Shooting,1.8,1.15,63.6%,0.36,0.57,19.9,0.0,0.11,0.46,0.46,Passing,29.29,34.53,84.8%,409.91,90.0,17.35,19.47,89.1%,9.82,10.64,92.3%,0.98,1.64,60.0%,0.11,0.98,0.82,1.31,0.16,Pass Types,33.71,0.65,0.16,0.16,0.0,0.82,0.49,0.0,0.0,0.0,0.0,0.16,0.65,Goal and Shot Creation,1.64,1.64,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,Defense,3.11,1.96,1.8,0.98,0.33,1.31,2.45,53.3%,1.15,1.31,0.0,1.31,0.82,3.93,0.65,0.0,Possession,47.45,1.47,9.49,15.22,24.05,1.8,47.45,5.89,3.27,55.6%,2.13,36.1%,31.09,254.13,119.29,2.62,0.33,1.64,1.64,30.6,Miscellaneous Stats,0.0,0.82,0.65,0.33,0.0,0.0,0.0,7.04,0.49,0.49,50.0%,FW,24-035,ISR,Tottenham,https://fbref.com/en/players/886f9aac/Manor-Solomon,550,Left Winger
Daley Blind,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.07,0.07,0.09,0.16,4.23,18.82,4.96,Shooting,1.31,0.0,0.0%,0.0,,18.9,0.0,0.05,-0.07,-0.07,Passing,96.71,112.03,86.3%,1794.17,806.06,41.86,45.51,92.0%,41.57,45.36,91.6%,11.82,17.8,66.4%,0.25,1.9,17.21,3.21,0.44,Pass Types,106.48,4.81,1.02,0.15,0.88,2.77,3.65,0.0,0.0,0.0,0.0,0.73,0.88,Goal and Shot Creation,4.38,3.94,0.15,0.0,0.15,0.15,0.0,0.73,0.58,0.0,0.0,0.0,0.15,0.0,Defense,1.31,1.02,0.73,0.58,0.0,0.73,1.02,71.4%,0.29,0.73,0.15,0.58,1.31,2.63,1.17,0.0,Possession,119.76,4.67,26.4,65.2,28.59,3.35,119.76,0.88,0.29,33.3%,0.29,33.3%,80.52,406.68,266.79,2.92,0.15,0.44,0.73,93.06,Miscellaneous Stats,0.0,0.44,0.29,0.0,0.0,0.0,0.0,6.86,1.6,1.17,57.9%,DF,33-172,NED,Girona,https://fbref.com/en/players/691bef82/Daley-Blind,811,Centre-Back
Aleix García,0.08,0.19,0.27,0.08,0.0,0.0,0.04,0.0,0.07,0.07,0.22,0.3,1.46,6.05,2.85,Shooting,1.19,0.5,41.9%,0.06,0.15,22.9,0.19,0.06,0.0,0.0,Passing,51.84,63.31,81.9%,927.46,293.41,24.65,26.53,92.9%,18.99,21.64,87.7%,6.28,11.21,56.0%,0.22,2.27,5.89,0.77,0.31,Pass Types,55.3,7.51,3.74,0.08,1.81,6.51,0.5,3.23,1.39,1.42,0.04,0.5,0.85,Goal and Shot Creation,4.74,2.73,1.66,0.12,0.12,0.0,0.12,0.77,0.5,0.15,0.04,0.0,0.0,0.08,Defense,1.35,0.73,0.35,0.69,0.31,0.58,1.27,45.5%,0.69,0.81,0.31,0.5,1.23,2.58,1.54,0.04,Possession,71.55,3.23,16.75,37.55,17.64,0.92,71.55,1.04,0.5,48.1%,0.39,37.0%,40.48,185.66,81.14,1.23,0.27,0.73,0.39,50.06,Miscellaneous Stats,0.0,0.35,1.16,0.04,0.0,0.0,0.0,5.16,0.58,0.31,65.2%,MF,26-061,ESP,Girona,https://fbref.com/en/players/a10361d2/Aleix-Garcia,2337,Central Midfield
Miguel Gutiérrez,0.07,0.15,0.22,0.07,0.0,0.0,0.25,0.0,0.03,0.03,0.13,0.16,2.72,4.6,5.18,Shooting,0.54,0.15,26.7%,0.13,0.5,18.1,0.0,0.05,0.05,0.05,Passing,42.15,51.22,82.3%,662.48,193.27,22.94,25.01,91.7%,15.73,19.07,82.5%,2.43,4.39,55.4%,0.12,0.8,3.23,1.09,0.58,Pass Types,41.97,9.06,0.98,0.11,0.04,3.59,8.01,0.07,0.0,0.0,0.0,0.18,0.87,Goal and Shot Creation,1.96,1.41,0.18,0.18,0.07,0.11,0.0,0.33,0.25,0.04,0.0,0.0,0.04,0.0,Defense,1.38,0.8,0.72,0.47,0.18,0.83,1.34,62.2%,0.51,0.8,0.18,0.62,0.65,2.03,1.78,0.04,Possession,60.5,2.72,17.69,26.68,16.78,1.45,60.5,2.97,1.3,43.9%,1.27,42.7%,34.76,205.63,98.26,1.34,0.62,1.52,0.98,37.62,Miscellaneous Stats,0.0,0.83,0.8,0.11,0.0,0.0,0.0,6.13,0.51,0.62,45.2%,DF,22-032,ESP,Girona,https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez,2483,Left-Back
David López,0.16,0.05,0.21,0.16,0.0,0.0,0.27,0.0,0.09,0.09,0.03,0.12,0.8,2.89,0.27,Shooting,0.54,0.37,70.0%,0.3,0.43,17.2,0.0,0.16,0.08,0.08,Passing,59.64,66.82,89.3%,1125.67,414.29,20.45,21.95,93.2%,33.89,35.98,94.2%,4.87,7.92,61.5%,0.02,0.43,2.73,0.05,0.0,Pass Types,62.48,4.18,2.84,0.0,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.16,0.16,Goal and Shot Creation,0.59,0.54,0.0,0.0,0.0,0.0,0.05,0.11,0.11,0.0,0.0,0.0,0.0,0.0,Defense,1.71,0.96,1.07,0.59,0.05,1.02,1.45,70.4%,0.43,1.66,1.07,0.59,0.86,2.57,3.8,0.0,Possession,76.88,13.33,47.28,28.43,1.5,0.75,76.88,0.37,0.27,71.4%,0.05,14.3%,45.4,237.82,142.09,0.21,0.0,0.48,0.11,52.84,Miscellaneous Stats,0.0,0.8,1.23,0.11,0.0,0.0,0.0,5.68,1.66,1.77,48.4%,DF,33-323,ESP,Girona,https://fbref.com/en/players/f03f284b/David-Lopez,1681,Centre-Back
Viktor Tsyhankov,0.2,0.28,0.47,0.2,0.0,0.0,0.04,0.0,0.15,0.15,0.16,0.31,3.36,3.0,6.36,Shooting,1.19,0.55,46.7%,0.17,0.36,19.2,0.12,0.14,0.04,0.04,Passing,24.82,35.93,69.1%,371.82,107.11,14.23,17.55,81.1%,6.68,10.24,65.3%,2.41,4.11,58.7%,0.18,1.66,1.5,1.15,0.2,Pass Types,32.37,3.4,1.11,0.12,0.12,3.48,0.24,1.98,1.03,0.36,0.0,0.16,1.42,Goal and Shot Creation,3.12,1.9,0.87,0.08,0.16,0.08,0.04,0.4,0.28,0.04,0.0,0.04,0.04,0.0,Defense,0.83,0.55,0.43,0.24,0.16,0.32,0.99,32.0%,0.67,0.83,0.08,0.75,0.32,1.15,0.75,0.0,Possession,44.11,1.19,6.64,18.89,19.41,2.92,44.11,1.9,0.91,47.9%,0.79,41.7%,27.27,175.26,91.34,2.02,1.19,1.42,1.07,30.75,Miscellaneous Stats,0.0,0.63,1.38,0.08,0.04,0.0,0.0,4.59,0.75,0.87,46.3%,MF,25-286,UKR,Girona,https://fbref.com/en/players/f7e87032/Viktor-Tsyhankov,2277,Right Winger
Arnau Martinez,0.09,0.15,0.24,0.09,0.0,0.0,0.39,0.0,0.06,0.06,0.15,0.21,2.06,3.66,2.96,Shooting,0.6,0.09,15.0%,0.15,1.0,12.7,0.0,0.1,0.03,0.03,Passing,42.94,52.25,82.2%,655.14,232.01,24.54,26.81,91.5%,14.93,17.71,84.3%,2.6,5.08,51.2%,0.11,1.3,2.63,0.88,0.54,Pass Types,41.62,10.34,1.66,0.09,0.21,1.81,8.67,0.0,0.0,0.0,0.0,0.3,1.0,Goal and Shot Creation,2.42,2.12,0.0,0.06,0.09,0.15,0.0,0.3,0.24,0.0,0.0,0.0,0.06,0.0,Defense,2.33,1.48,1.45,0.6,0.27,1.27,2.75,46.2%,1.48,1.36,0.3,1.06,0.85,3.17,1.9,0.06,Possession,62.23,3.45,21.46,28.02,13.3,1.66,62.23,1.48,0.73,49.0%,0.6,40.8%,31.16,171.69,99.13,0.97,0.27,1.18,0.57,36.54,Miscellaneous Stats,0.0,1.3,2.12,0.18,0.0,0.03,0.0,5.59,1.06,0.85,55.6%,DF,20-125,ESP,Girona,https://fbref.com/en/players/c3e66ffe/Arnau-Martinez,2978,Right-Back
Yangel Herrera,0.34,0.08,0.42,0.34,0.0,0.0,0.34,0.0,0.24,0.24,0.07,0.31,1.52,4.14,4.81,Shooting,2.2,0.84,38.5%,0.15,0.4,17.9,0.0,0.11,0.09,0.1,Passing,30.23,37.82,79.9%,451.44,118.71,16.89,18.57,90.9%,9.71,12.24,79.3%,2.36,4.22,56.0%,0.08,0.84,2.79,0.84,0.17,Pass Types,36.81,0.76,0.17,0.25,0.34,1.69,0.08,0.0,0.0,0.0,0.0,0.25,0.42,Goal and Shot Creation,1.69,1.35,0.0,0.0,0.08,0.08,0.17,0.17,0.08,0.0,0.0,0.0,0.0,0.08,Defense,2.53,1.01,0.76,1.52,0.25,0.59,1.6,36.8%,1.01,1.18,0.08,1.1,0.25,2.79,1.6,0.0,Possession,50.23,2.03,8.95,26.59,15.37,2.96,50.23,2.03,1.18,58.3%,0.59,29.2%,30.23,141.59,62.73,1.35,0.25,2.2,1.77,36.56,Miscellaneous Stats,0.0,3.04,1.77,0.25,0.0,0.0,0.0,4.31,1.69,2.28,42.6%,MF,25-226,VEN,Girona,https://fbref.com/en/players/5083a734/Yangel-Herrera,1066,Central Midfield
