Player,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Position,Age,Country,Club,url,Minutes,DetailedPosition
Michael Esser,2.06,6.69,4.63,71.5%,0.16,0.19,0.66,0.16,15.6%,0.19,0.16,0.03,0.0,16.7%,Advanced Goalkeeping,0.03,0.31,0.03,1.9,0.26,-0.13,9.34,19.03,49.1%,29.47,4.5,46.2%,36.9,9.22,58.6%,43.3,17.22,0.75,4.4%,1.19,14.6,GK,35-279,GER,Bochum,https://fbref.com/en/players/83e0eeb4/Michael-Esser,2880,Goalkeeper
Predrag Rajković,1.19,3.69,2.47,72.2%,0.33,0.22,0.44,0.28,27.8%,0.19,0.17,0.03,0.0,14.3%,Advanced Goalkeeping,0.0,0.11,0.0,1.09,0.25,-0.1,8.83,21.42,41.2%,24.72,3.33,62.8%,45.8,8.11,72.6%,52.8,15.47,0.92,5.9%,0.56,12.1,GK,27-301,SRB,Mallorca,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,3240,Goalkeeper
Dominik Greif,2.17,6.0,4.0,72.2%,0.17,0.17,0.67,0.0,0.0%,0.67,0.5,0.17,0.0,25.0%,Advanced Goalkeeping,0.0,0.17,0.33,2.22,0.28,0.38,6.0,19.83,30.3%,19.0,4.67,57.0%,42.0,11.33,79.4%,54.5,20.67,0.33,1.6%,0.83,11.1,GK,26-144,SVK,Mallorca,https://fbref.com/en/players/30061f53/Dominik-Greif,540,Goalkeeper
Iván Villar,1.27,3.27,1.95,65.3%,0.27,0.27,0.45,0.18,18.2%,0.23,0.14,0.05,0.05,25.0%,Advanced Goalkeeping,0.0,0.32,0.0,1.17,0.31,-0.1,4.14,12.73,32.5%,22.27,4.91,35.5%,34.0,8.5,56.7%,44.7,13.18,0.36,2.8%,0.68,14.3,GK,26-050,ESP,Celta Vigo,https://fbref.com/en/players/cde52ef5/Ivan-Villar,1980,Goalkeeper
Agustín Marchesín,1.44,3.75,2.31,61.7%,0.25,0.25,0.5,0.31,31.3%,0.06,0.0,0.06,0.0,100.0%,Advanced Goalkeeping,0.06,0.25,0.06,0.93,0.24,-0.44,5.69,14.13,40.3%,26.38,4.06,39.8%,35.3,6.75,53.7%,44.0,13.88,0.75,5.4%,1.5,18.3,GK,35-165,ARG,Celta Vigo,https://fbref.com/en/players/853b7c48/Agustin-Marchesin,1440,Goalkeeper
Brice Samba,0.86,3.53,2.69,79.5%,0.58,0.25,0.17,0.39,38.9%,0.14,0.14,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.17,0.03,0.97,0.24,0.14,4.97,12.17,40.9%,28.81,3.64,36.9%,33.6,4.25,35.9%,34.4,10.39,0.86,8.3%,1.0,15.1,GK,29-125,FRA,Lens,https://fbref.com/en/players/60d90c55/Brice-Samba,3240,Goalkeeper
Jean-Louis Leca,1.28,3.89,2.57,69.4%,0.39,0.31,0.35,0.19,20.0%,0.16,0.12,0.04,0.0,25.0%,Advanced Goalkeeping,0.04,0.08,0.0,1.24,0.29,-0.04,4.2,10.08,41.7%,20.82,5.18,35.3%,31.3,7.74,35.2%,33.1,11.4,0.74,6.5%,0.93,14.1,GK,37-341,FRA,Lens,https://fbref.com/en/players/edbe46dc/Jean-Louis-Leca,2313,Goalkeeper
Alban Lafont,1.58,5.15,3.67,74.4%,0.22,0.31,0.48,0.26,27.5%,0.24,0.26,0.0,0.0,0.0%,Advanced Goalkeeping,0.02,0.14,0.1,1.6,0.27,0.09,5.13,13.83,37.1%,25.02,5.3,37.1%,35.2,6.71,67.9%,49.6,12.92,0.93,7.2%,1.05,12.9,GK,24-217,FRA,Nantes,https://fbref.com/en/players/4e7db402/Alban-Lafont,3755,Goalkeeper
Luís Maximiano,0.67,1.0,0.33,33.3%,0.33,0.33,0.33,0.67,66.7%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.0,0.27,0.27,-0.4,7.33,15.0,48.9%,35.67,2.33,29.0%,30.7,8.33,56.0%,42.6,10.0,0.67,6.7%,1.0,16.0,GK,24-235,POR,Almería,https://fbref.com/en/players/3318286e/Luis-Maximiano,270,Goalkeeper
Fernando,1.7,5.07,3.37,68.6%,0.3,0.21,0.51,0.12,12.1%,0.18,0.12,0.03,0.03,20.0%,Advanced Goalkeeping,0.0,0.12,0.03,1.67,0.3,-0.01,5.52,15.46,35.7%,26.75,5.73,39.3%,36.9,9.28,53.4%,43.4,16.57,1.04,6.3%,0.72,12.3,GK,33-079,ESP,Almería,https://fbref.com/en/players/dabb2827/Fernando,3015,Goalkeeper
Neto,1.53,5.29,3.76,73.7%,0.31,0.24,0.47,0.2,20.7%,0.2,0.14,0.03,0.03,20.0%,Advanced Goalkeeping,0.0,0.27,0.03,1.59,0.28,0.09,5.97,16.34,36.5%,23.15,5.05,46.3%,37.3,8.75,64.3%,44.6,18.17,1.22,6.7%,0.88,12.0,GK,34-040,BRA,Bournemouth,https://fbref.com/en/players/a9dc785c/Neto,2655,Goalkeeper
Ionuț Radu,1.43,4.83,3.35,73.0%,0.17,0.39,0.43,0.26,26.1%,0.22,0.13,0.09,0.0,40.0%,Advanced Goalkeeping,0.0,0.09,0.04,1.52,0.28,0.13,6.3,19.22,32.8%,28.52,3.7,48.2%,39.5,7.87,69.6%,50.6,14.74,0.74,5.0%,0.91,13.9,GK,26-092,ROU,Bournemouth,https://fbref.com/en/players/67f649be/Ionut-Radu,2070,Goalkeeper
Rémy Riou,1.57,4.0,2.57,67.9%,0.14,0.57,0.29,0.29,28.6%,0.29,0.29,0.0,0.0,0.0%,Advanced Goalkeeping,0.14,0.0,0.14,1.43,0.29,0.0,1.71,8.43,20.3%,26.29,3.86,23.4%,28.4,7.57,30.2%,31.8,12.43,0.86,6.9%,1.14,15.1,GK,36-022,FRA,Lyon,https://fbref.com/en/players/7f41ee30/Remy-Riou,630,Goalkeeper
Ivan Provedel,0.98,3.6,2.63,74.2%,0.51,0.21,0.28,0.49,48.8%,0.09,0.05,0.02,0.02,33.3%,Advanced Goalkeeping,0.0,0.12,0.02,0.94,0.25,-0.01,4.12,9.51,43.3%,30.0,4.49,26.3%,31.6,5.4,30.2%,31.5,12.16,0.6,5.0%,1.67,16.9,GK,29-164,ITA,Lazio,https://fbref.com/en/players/277da414/Ivan-Provedel,3870,Goalkeeper
Luigi Sepe,1.86,5.36,3.29,70.7%,0.21,0.29,0.5,0.07,7.1%,0.5,0.29,0.21,0.0,42.9%,Advanced Goalkeeping,0.0,0.0,0.0,1.97,0.28,0.11,4.5,17.07,26.4%,29.93,4.86,41.5%,36.1,9.07,51.2%,41.8,14.07,1.0,7.1%,0.79,14.2,GK,32-112,ITA,Lazio,https://fbref.com/en/players/343f753a/Luigi-Sepe,1260,Goalkeeper
Marvin Schwäbe,1.66,3.81,2.22,59.8%,0.28,0.28,0.44,0.16,15.6%,0.16,0.13,0.03,0.0,20.0%,Advanced Goalkeeping,0.09,0.16,0.09,1.3,0.32,-0.26,4.56,12.19,37.4%,35.34,3.66,29.7%,31.5,5.13,32.9%,34.6,13.84,0.59,4.3%,0.63,13.1,GK,28-125,GER,Köln,https://fbref.com/en/players/87436846/Marvin-Schwabe,2880,Goalkeeper
Samuele Perisan,1.38,3.63,2.25,62.1%,0.13,0.13,0.75,0.25,25.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.25,0.0,1.01,0.28,-0.36,3.25,10.38,31.3%,21.88,5.88,31.4%,31.9,10.88,32.2%,33.6,19.0,0.63,3.3%,0.63,12.2,GK,26-007,ITA,Empoli,https://fbref.com/en/players/00a17eba/Samuele-Perisan,720,Goalkeeper
Wes Foderingham,0.81,2.77,1.96,70.7%,0.63,0.12,0.27,0.45,46.9%,0.03,0.0,0.03,0.0,100.0%,Advanced Goalkeeping,0.0,0.15,0.03,0.83,0.29,0.07,4.73,13.21,35.8%,19.75,3.8,49.2%,39.8,7.09,48.1%,41.1,13.84,1.12,8.1%,0.78,12.9,GK,32-226,ENG,Sheffield Utd,https://fbref.com/en/players/96cf7b61/Wes-Foderingham,2985,Goalkeeper
Adam Davies,1.03,3.97,2.79,81.5%,0.59,0.15,0.15,0.29,33.3%,0.44,0.29,0.15,0.0,33.3%,Advanced Goalkeeping,0.0,0.0,0.0,1.12,0.17,0.09,5.59,14.71,38.0%,17.21,3.09,59.0%,41.7,7.5,60.8%,48.4,13.82,0.74,5.3%,2.06,19.4,GK,31-042,WAL,Sheffield Utd,https://fbref.com/en/players/71894777/Adam-Davies,612,Goalkeeper
Marko Dmitrović,1.04,3.89,2.89,74.4%,0.38,0.24,0.33,0.38,40.0%,0.05,0.05,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.14,0.05,0.95,0.24,-0.04,6.59,22.18,29.7%,28.1,3.36,54.6%,42.0,8.34,81.8%,60.3,14.27,0.81,5.6%,0.66,12.5,GK,31-216,SRB,Sevilla,https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic,1899,Goalkeeper
Yassine Bounou,1.72,4.58,2.88,62.8%,0.31,0.28,0.44,0.19,19.4%,0.06,0.03,0.03,0.0,50.0%,Advanced Goalkeeping,0.03,0.16,0.06,1.53,0.33,-0.11,5.64,14.51,38.9%,32.07,3.54,30.8%,32.2,7.46,62.2%,47.0,13.01,0.82,6.3%,1.32,16.2,GK,32-145,MAR,Sevilla,https://fbref.com/en/players/f6798fc3/Yassine-Bounou,2931,Goalkeeper
Ørjan Nyland,1.36,3.36,2.0,62.2%,0.27,0.36,0.36,0.18,18.2%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.0,1.29,0.36,-0.07,4.09,21.18,19.3%,25.91,3.18,55.8%,42.7,8.55,78.7%,57.6,11.91,0.18,1.5%,0.55,17.7,GK,32-352,NOR,Sevilla,https://fbref.com/en/players/bdedffac/Orjan-Nyland,990,Goalkeeper
Marco Silvestri,1.27,3.49,2.27,68.2%,0.27,0.35,0.38,0.24,24.3%,0.19,0.16,0.0,0.03,0.0%,Advanced Goalkeeping,0.05,0.08,0.05,1.24,0.31,0.02,3.68,9.86,37.3%,23.41,3.7,31.3%,31.7,7.65,33.2%,34.0,14.11,0.35,2.5%,0.54,12.1,GK,32-179,ITA,Udinese,https://fbref.com/en/players/0d422df7/Marco-Silvestri,3330,Goalkeeper
Andrea Consigli,1.59,3.5,1.97,56.3%,0.32,0.21,0.47,0.24,23.5%,0.09,0.06,0.0,0.03,0.0%,Advanced Goalkeeping,0.0,0.18,0.06,1.11,0.31,-0.42,4.85,12.59,38.6%,32.44,5.38,30.7%,33.5,8.32,31.4%,32.3,13.91,0.74,5.3%,0.88,14.5,GK,36-213,ITA,Sassuolo,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli,3060,Goalkeeper
Alessio Cragno,1.8,4.8,2.97,66.1%,0.17,0.29,0.54,0.06,5.7%,0.23,0.17,0.06,0.0,25.0%,Advanced Goalkeeping,0.11,0.29,0.03,1.5,0.28,-0.27,9.17,20.09,45.7%,25.43,3.2,52.9%,39.4,9.03,73.4%,48.2,13.83,0.63,4.5%,0.94,15.0,GK,29-061,ITA,Sassuolo,https://fbref.com/en/players/f554e29b/Alessio-Cragno,3150,Goalkeeper
Gianluca Pegolo,0.8,5.4,4.8,85.2%,0.4,0.4,0.2,0.4,40.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.2,1.14,0.22,0.54,2.4,5.8,41.4%,24.4,4.8,18.9%,24.2,7.2,16.7%,19.9,14.2,0.2,1.4%,1.0,17.4,GK,42-156,ITA,Sassuolo,https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo,450,Goalkeeper
Arijanet Muric,0.7,3.1,2.37,76.0%,0.7,0.26,0.06,0.47,50.0%,0.06,0.03,0.03,0.0,50.0%,Advanced Goalkeeping,0.0,0.23,0.0,0.8,0.25,0.05,4.33,10.13,42.8%,34.75,4.68,21.9%,28.2,4.71,53.4%,42.6,11.21,1.23,11.0%,1.23,15.7,GK,24-294,KVX,Burnley,https://fbref.com/en/players/99aa1a84/Arijanet-Muric,3074,Goalkeeper
Jiří Pavlenka,1.85,5.51,3.7,67.7%,0.3,0.1,0.63,0.13,13.3%,0.1,0.07,0.03,0.0,33.3%,Advanced Goalkeeping,0.0,0.1,0.07,1.66,0.29,-0.13,6.43,15.37,41.8%,27.38,4.82,41.1%,36.5,8.68,47.5%,41.8,15.24,0.73,4.8%,1.25,15.4,GK,31-136,CZE,Werder Bremen,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka,2728,Goalkeeper
Michael Zetterer,1.53,4.26,2.74,65.4%,0.21,0.47,0.32,0.21,21.1%,0.05,0.05,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.16,0.0,1.28,0.29,-0.24,4.58,13.26,34.5%,32.05,6.05,33.2%,33.8,7.16,36.8%,37.2,12.68,0.42,3.3%,1.89,18.7,GK,28-047,GER,Werder Bremen,https://fbref.com/en/players/9b688ae1/Michael-Zetterer,1710,Goalkeeper
Mory Diaw,1.25,4.11,2.75,73.0%,0.42,0.22,0.36,0.25,25.0%,0.25,0.14,0.11,0.0,44.4%,Advanced Goalkeeping,0.0,0.17,0.0,1.44,0.31,0.19,6.42,16.53,38.8%,33.56,4.39,40.1%,36.9,6.86,44.9%,39.9,12.25,0.94,7.7%,0.81,12.2,GK,30-067,SEN,Clermont Foot,https://fbref.com/en/players/f41a69e6/Mory-Diaw,3240,Goalkeeper
Jordan Pickford,1.61,4.81,3.17,69.4%,0.19,0.28,0.53,0.22,22.2%,0.17,0.14,0.03,0.0,16.7%,Advanced Goalkeeping,0.06,0.08,0.0,1.64,0.31,0.03,7.33,21.33,34.4%,26.64,3.86,57.6%,42.7,8.47,70.8%,52.2,14.53,0.53,3.6%,1.19,16.3,GK,29-174,ENG,Everton,https://fbref.com/en/players/4806ec67/Jordan-Pickford,3240,Goalkeeper
João Virgínia,1.85,6.46,4.69,75.0%,0.08,0.15,0.77,0.23,23.1%,0.23,0.23,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.23,0.08,1.92,0.27,0.15,6.85,17.85,38.4%,26.69,5.92,43.5%,38.3,10.85,57.4%,47.2,17.77,0.85,4.8%,0.77,12.8,GK,23-322,POR,Everton,https://fbref.com/en/players/728e9b2e/Joao-Virginia,1170,Goalkeeper
Thomas Kaminski,1.23,4.14,2.91,71.4%,0.5,0.05,0.45,0.36,36.4%,0.05,0.05,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.05,0.0,1.37,0.33,0.14,3.0,10.64,28.2%,28.14,4.59,24.6%,30.0,8.77,42.5%,35.4,13.82,0.41,3.0%,1.36,18.9,GK,30-309,BEL,Luton Town,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,1980,Goalkeeper
Tim Krul,1.3,3.5,2.2,62.9%,0.6,0.2,0.2,0.3,30.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.2,0.0,0.96,0.27,-0.34,4.2,11.8,35.6%,33.6,5.3,28.0%,32.2,7.2,33.3%,32.3,11.2,0.6,5.4%,1.7,15.0,GK,35-147,NED,Luton Town,https://fbref.com/en/players/f23f9d20/Tim-Krul,900,Goalkeeper
