Player,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted,Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions,Position,Age,Country,Club,url,Minutes,DetailedPosition
André Onana,0.98,3.9,3.03,76.3%,0.58,0.15,0.28,0.43,42.5%,0.05,0.05,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.18,0.1,1.04,0.26,0.16,4.85,12.18,39.8%,35.0,4.8,28.3%,31.1,6.3,36.1%,37.0,13.05,0.78,5.9%,0.43,12.4,GK,27-148,CMR,Manchester Utd,https://fbref.com/en/players/e9c0c1b2/Andre-Onana,3600,Goalkeeper
Dean Henderson,1.86,4.14,2.29,58.6%,0.29,0.29,0.43,0.36,35.7%,0.21,0.14,0.0,0.07,0.0%,Advanced Goalkeeping,0.07,0.29,0.0,1.35,0.3,-0.51,6.43,17.43,36.9%,27.21,5.36,45.7%,37.5,8.07,61.9%,46.3,16.36,0.86,5.2%,0.86,13.6,GK,26-169,ENG,Manchester Utd,https://fbref.com/en/players/e5a76dfe/Dean-Henderson,1260,Goalkeeper
Steve Mandanda,1.01,3.15,2.17,70.3%,0.58,0.19,0.24,0.31,32.5%,0.1,0.1,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.14,0.02,0.95,0.28,-0.05,4.86,12.97,37.5%,31.81,4.62,30.3%,31.5,5.7,58.6%,43.3,11.86,0.99,8.3%,1.37,16.0,GK,38-153,FRA,Rennes,https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda,3770,Goalkeeper
Gauthier Gallon,2.11,6.16,4.06,69.0%,0.08,0.35,0.59,0.0,0.0%,0.2,0.2,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.31,0.0,1.88,0.28,-0.22,3.51,13.54,25.9%,24.19,4.95,35.0%,33.1,8.35,60.7%,45.2,17.63,1.13,6.4%,0.27,8.2,GK,30-127,FRA,Rennes,https://fbref.com/en/players/db3164e1/Gauthier-Gallon,2307,Goalkeeper
Yvon Mvogo,1.39,5.02,3.68,73.3%,0.5,0.25,0.3,0.15,15.0%,0.05,0.05,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.25,0.05,1.34,0.26,0.01,4.47,11.87,37.7%,24.19,4.42,34.5%,32.9,7.35,46.6%,36.9,19.62,1.19,6.1%,0.25,7.6,GK,29-083,SUI,Lorient,https://fbref.com/en/players/dc29b608/Yvon-Mvogo,1812,Goalkeeper
Vito Mannone,1.34,4.7,3.36,72.6%,0.22,0.34,0.39,0.28,29.4%,0.06,0.06,0.0,0.0,0.0%,Advanced Goalkeeping,0.11,0.11,0.0,1.41,0.29,0.07,3.13,9.85,31.8%,26.36,5.65,25.9%,29.5,6.27,48.2%,37.5,19.25,0.67,3.5%,0.5,10.6,GK,35-179,ITA,Lorient,https://fbref.com/en/players/c4173f1a/Vito-Mannone,1608,Goalkeeper
Mark Flekken,1.23,4.38,3.15,75.4%,0.48,0.28,0.25,0.35,35.0%,0.18,0.15,0.0,0.03,0.0%,Advanced Goalkeeping,0.0,0.1,0.0,1.32,0.27,0.09,7.15,17.8,40.2%,35.95,3.63,36.2%,35.9,6.78,70.8%,56.3,12.25,0.8,6.5%,1.03,14.6,GK,30-076,NED,Brentford,https://fbref.com/en/players/a92ab7be/Mark-Flekken,3600,Goalkeeper
Thomas Strakosha,1.26,3.74,2.52,67.4%,0.52,0.26,0.22,0.3,30.4%,0.04,0.04,0.0,0.0,0.0%,Advanced Goalkeeping,0.04,0.13,0.04,1.24,0.32,0.03,3.43,7.0,49.1%,26.87,4.0,22.2%,28.5,5.17,20.2%,23.6,12.3,0.48,3.9%,0.7,14.5,GK,28-162,ALB,Brentford,https://fbref.com/en/players/339fe0e8/Thomas-Strakosha,2070,Goalkeeper
Gianluigi Donnarumma,1.07,4.1,3.05,76.1%,0.65,0.16,0.2,0.29,29.5%,0.13,0.09,0.02,0.04,20.0%,Advanced Goalkeeping,0.02,0.11,0.04,1.16,0.27,0.15,1.47,4.28,34.4%,20.01,4.43,15.8%,24.7,5.79,19.2%,24.0,12.08,0.74,6.1%,0.74,12.1,GK,24-184,ITA,Paris S-G,https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma,4039,Goalkeeper
Keylor Navas,1.88,4.89,3.0,65.0%,0.24,0.24,0.53,0.06,6.3%,0.24,0.24,0.0,0.0,0.0%,Advanced Goalkeeping,0.06,0.18,0.0,1.72,0.32,-0.17,6.24,18.84,33.1%,22.25,3.83,56.3%,41.3,8.89,70.9%,48.1,17.36,0.82,4.7%,0.53,9.2,GK,36-256,CRC,Paris S-G,https://fbref.com/en/players/ecada4fc/Keylor-Navas,1529,Goalkeeper
Janis Blaswich,1.32,3.45,2.1,69.1%,0.6,0.16,0.22,0.25,25.8%,0.28,0.25,0.03,0.0,11.1%,Advanced Goalkeeping,0.0,0.19,0.0,1.26,0.3,-0.06,2.26,7.25,31.2%,38.38,4.58,15.1%,25.3,5.96,24.2%,29.0,11.71,0.82,7.0%,1.41,16.7,GK,32-118,GER,RB Leipzig,https://fbref.com/en/players/663e080e/Janis-Blaswich,2868,Goalkeeper
Leopold Zingerle,2.04,5.43,3.43,64.5%,0.14,0.25,0.61,0.18,17.9%,0.14,0.11,0.04,0.0,25.0%,Advanced Goalkeeping,0.11,0.21,0.07,1.73,0.3,-0.23,4.71,10.25,46.0%,34.93,6.71,22.9%,29.0,8.32,27.0%,29.9,16.21,0.32,2.0%,0.79,13.3,GK,29-140,GER,RB Leipzig,https://fbref.com/en/players/bf9d9070/Leopold-Zingerle,2520,Goalkeeper
Alexander Nübel,1.57,5.02,3.55,70.6%,0.52,0.16,0.32,0.25,25.0%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.05,0.16,0.09,1.28,0.25,-0.2,5.07,11.39,44.5%,24.36,5.52,30.3%,31.9,7.07,56.6%,43.9,11.18,1.0,8.9%,1.02,13.6,GK,26-332,GER,Stuttgart,https://fbref.com/en/players/afb0c500/Alexander-Nubel,3990,Goalkeeper
Fabian Bredlow,1.53,3.93,2.47,69.5%,0.27,0.33,0.4,0.07,6.7%,0.33,0.33,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.2,0.07,1.34,0.26,-0.13,3.67,8.6,42.6%,33.53,5.73,20.3%,27.6,6.07,29.7%,33.5,13.53,0.8,5.9%,1.0,15.2,GK,28-179,GER,Stuttgart,https://fbref.com/en/players/d28339cb/Fabian-Bredlow,1350,Goalkeeper
Juan Musso,1.27,3.94,2.76,70.1%,0.54,0.14,0.36,0.27,27.3%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.18,0.09,0.98,0.23,-0.19,3.94,10.92,36.1%,23.42,6.16,30.6%,31.0,6.25,60.1%,47.8,10.15,0.68,6.7%,1.18,16.6,GK,29-114,ARG,Atalanta,https://fbref.com/en/players/a111cf41/Juan-Musso,1987,Goalkeeper
Marco Carnesecchi,1.74,5.67,3.96,70.6%,0.15,0.33,0.52,0.15,14.8%,0.07,0.07,0.0,0.0,0.0%,Advanced Goalkeeping,0.11,0.26,0.04,1.64,0.28,-0.07,5.81,19.37,30.0%,27.59,5.0,52.2%,41.4,7.52,66.0%,53.1,14.89,1.07,7.2%,1.07,14.1,GK,23-058,ITA,Atalanta,https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi,2430,Goalkeeper
Michele Di Gregorio,1.19,4.47,3.31,75.2%,0.42,0.28,0.31,0.31,30.6%,0.08,0.08,0.0,0.0,0.0%,Advanced Goalkeeping,0.03,0.08,0.03,1.2,0.26,0.03,4.5,12.94,34.8%,33.33,6.36,30.7%,32.4,7.08,38.4%,35.4,14.83,0.33,2.2%,0.92,13.4,GK,26-032,ITA,Monza,https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio,3240,Goalkeeper
Oliver Baumann,1.75,5.0,3.28,66.3%,0.25,0.19,0.56,0.09,9.4%,0.13,0.06,0.03,0.03,33.3%,Advanced Goalkeeping,0.06,0.31,0.06,1.53,0.3,-0.16,6.31,15.53,40.6%,34.13,5.28,34.8%,33.3,7.38,49.6%,41.0,16.22,1.16,7.1%,1.41,14.2,GK,33-087,GER,Hoffenheim,https://fbref.com/en/players/47064058/Oliver-Baumann,2880,Goalkeeper
Michele Cerofolini,0.67,2.83,2.17,82.4%,0.83,0.17,0.0,0.33,33.3%,0.17,0.17,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.0,0.73,0.2,0.07,4.33,14.67,29.5%,32.33,4.83,37.6%,34.0,5.5,45.5%,39.2,7.83,0.17,2.1%,0.5,13.8,GK,24-236,ITA,Frosinone,https://fbref.com/en/players/efdeaff3/Michele-Cerofolini,540,Goalkeeper
Nicola Leali,3.5,7.5,4.0,53.3%,0.0,0.0,1.0,0.0,0.0%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.5,0.0,3.6,0.52,0.1,3.5,8.0,43.8%,16.5,5.5,12.1%,27.2,7.5,80.0%,50.8,12.5,1.0,8.0%,0.0,6.3,GK,30-192,ITA,Genoa,https://fbref.com/en/players/5f9970a0/Nicola-Leali,180,
Benjamin Lecomte,1.24,4.76,3.45,75.4%,0.41,0.28,0.31,0.31,31.0%,0.17,0.07,0.1,0.0,60.0%,Advanced Goalkeeping,0.03,0.14,0.03,1.37,0.27,0.16,6.24,16.93,36.9%,23.52,3.41,49.4%,39.1,8.76,60.6%,45.1,14.62,0.66,4.5%,0.55,11.1,GK,32-124,FRA,Montpellier,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,2610,Goalkeeper
Dimitry Bertaud,2.16,6.16,4.0,68.4%,0.22,0.32,0.43,0.22,22.2%,0.22,0.22,0.0,0.0,0.0%,Advanced Goalkeeping,0.11,0.11,0.0,1.73,0.25,-0.43,4.97,13.94,35.7%,24.42,5.94,38.5%,33.8,9.29,48.8%,38.5,13.83,0.86,6.3%,0.43,11.7,GK,25-083,FRA,Montpellier,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,833,Goalkeeper
Sam Johnstone,1.0,3.25,2.33,76.9%,0.42,0.33,0.25,0.33,33.3%,0.25,0.25,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.33,0.08,0.98,0.22,0.06,3.67,11.5,31.9%,24.42,4.42,35.2%,33.0,5.33,54.7%,44.1,12.58,0.58,4.6%,1.17,14.7,GK,30-156,ENG,Crystal Palace,https://fbref.com/en/players/9e5708be/Sam-Johnstone,1080,Goalkeeper
Remi Matthews,1.89,5.78,3.78,69.2%,0.22,0.06,0.72,0.11,11.1%,0.22,0.11,0.11,0.0,50.0%,Advanced Goalkeeping,0.0,0.11,0.0,1.8,0.28,-0.09,11.44,26.33,43.5%,23.11,2.17,77.9%,50.7,8.44,98.7%,68.5,16.22,0.33,2.1%,1.0,13.8,GK,29-199,ENG,Crystal Palace,https://fbref.com/en/players/27f4f772/Remi-Matthews,1620,Goalkeeper
Jeremías Ledesma,1.37,5.23,3.83,77.0%,0.29,0.34,0.37,0.37,37.1%,0.2,0.17,0.03,0.0,14.3%,Advanced Goalkeeping,0.03,0.17,0.0,1.34,0.22,-0.03,7.14,22.03,32.4%,24.29,3.94,59.6%,45.4,8.29,91.0%,65.3,17.66,1.31,7.4%,0.74,10.7,GK,30-196,ARG,Cádiz,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,3150,Goalkeeper
Rui Silva,1.32,4.04,2.75,70.8%,0.39,0.18,0.43,0.32,32.1%,0.14,0.14,0.0,0.0,0.0%,Advanced Goalkeeping,0.04,0.21,0.04,1.27,0.28,-0.02,6.0,15.46,38.8%,25.79,4.32,39.5%,35.1,8.61,61.4%,46.0,13.86,0.71,5.2%,1.32,16.5,GK,29-202,POR,Betis,https://fbref.com/en/players/ea83bfa6/Rui-Silva,2520,Goalkeeper
Lucas Chevalier,1.03,3.37,2.4,71.2%,0.49,0.29,0.23,0.31,31.4%,0.09,0.06,0.03,0.0,33.3%,Advanced Goalkeeping,0.06,0.03,0.09,1.01,0.28,0.06,2.29,8.51,26.8%,28.34,3.71,25.1%,28.8,3.26,43.0%,37.5,9.74,0.63,6.5%,0.91,14.0,GK,21-295,FRA,Lille,https://fbref.com/en/players/b3d76d84/Lucas-Chevalier,3150,Goalkeeper
Bernd Leno,1.41,5.57,4.19,79.1%,0.41,0.16,0.43,0.24,24.3%,0.27,0.24,0.03,0.0,10.0%,Advanced Goalkeeping,0.03,0.16,0.05,1.71,0.27,0.36,3.59,11.27,31.9%,33.92,5.38,25.7%,29.9,6.49,39.6%,36.9,13.24,0.92,6.9%,1.22,14.9,GK,31-177,GER,Fulham,https://fbref.com/en/players/2628fd2b/Bernd-Leno,3330,Goalkeeper
Marek Rodák,0.79,2.85,2.12,75.5%,0.64,0.18,0.18,0.42,42.4%,0.09,0.09,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.06,0.06,0.78,0.24,0.05,2.88,8.42,34.2%,20.82,3.7,29.4%,29.6,6.61,34.9%,34.7,10.39,0.36,3.5%,0.67,12.7,GK,26-258,SVK,Fulham,https://fbref.com/en/players/17acc2ed/Marek-Rodak,2970,Goalkeeper
Alexandre Oukidja,1.87,4.37,2.59,60.4%,0.1,0.38,0.53,0.14,15.8%,0.14,0.14,0.0,0.0,0.0%,Advanced Goalkeeping,0.05,0.1,0.1,1.43,0.3,-0.31,6.29,16.08,39.1%,20.69,6.58,48.0%,39.7,8.02,76.6%,54.9,15.31,1.87,12.2%,2.02,14.8,GK,35-040,ALG,Metz,https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja,1875,Goalkeeper
Nick Pope,0.91,3.21,2.27,73.5%,0.54,0.28,0.2,0.34,34.3%,0.14,0.06,0.06,0.03,50.0%,Advanced Goalkeeping,0.0,0.2,0.03,0.88,0.25,0.01,3.15,9.71,32.5%,18.65,6.3,31.1%,32.1,5.96,65.2%,48.7,10.9,0.88,8.1%,2.1,18.5,GK,31-131,ENG,Newcastle Utd,https://fbref.com/en/players/4b40d9ca/Nick-Pope,3171,Goalkeeper
Martin Dúbravka,1.35,4.08,2.77,67.9%,0.5,0.15,0.35,0.31,30.8%,0.04,0.04,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.27,0.04,1.31,0.32,0.0,7.96,19.12,41.6%,23.27,3.38,46.3%,37.0,9.08,91.9%,60.5,13.85,0.85,6.1%,0.54,11.9,GK,34-225,SVK,Newcastle Utd,https://fbref.com/en/players/3a949a25/Martin-Dubravka,2340,Goalkeeper
Álex Remiro,0.8,3.13,2.35,75.0%,0.52,0.26,0.22,0.41,41.3%,0.04,0.02,0.02,0.0,50.0%,Advanced Goalkeeping,0.02,0.11,0.04,0.79,0.24,0.03,6.28,14.39,43.7%,28.98,3.57,38.9%,35.5,5.09,61.1%,50.0,11.13,0.41,3.7%,1.46,17.1,GK,28-157,ESP,Real Sociedad,https://fbref.com/en/players/374ee424/Alex-Remiro,4140,Goalkeeper
Simone Scuffet,0.75,4.38,3.75,85.7%,0.38,0.25,0.38,0.5,50.0%,0.13,0.13,0.0,0.0,0.0%,Advanced Goalkeeping,0.0,0.0,0.13,1.05,0.22,0.43,9.38,24.5,38.3%,22.25,2.75,66.9%,45.3,9.88,97.5%,62.7,14.63,0.5,3.4%,2.5,19.2,GK,27-089,ITA,Cagliari,https://fbref.com/en/players/41bd99ea/Simone-Scuffet,720,Goalkeeper
Marcin Bułka,0.67,3.33,2.67,80.0%,0.67,0.33,0.0,0.33,33.3%,0.0,0.0,0.0,0.0,,Advanced Goalkeeping,0.0,0.0,0.0,0.73,0.22,0.07,3.67,8.67,42.3%,21.33,2.67,28.1%,30.7,6.0,44.4%,37.5,13.33,1.0,7.5%,0.67,15.6,GK,23-328,POL,Nice,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,270,Goalkeeper
Guillermo Ochoa,1.64,5.18,3.5,71.1%,0.18,0.55,0.27,0.18,18.2%,0.18,0.14,0.05,0.0,25.0%,Advanced Goalkeeping,0.05,0.32,0.0,1.67,0.29,0.03,6.45,21.32,30.3%,27.55,2.32,53.1%,40.8,10.23,65.3%,47.2,15.95,0.59,3.7%,0.5,11.9,GK,38-046,MEX,Salernitana,https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa,1980,Goalkeeper
